name,rung,width,placement,r,k_bwd,seed,N_rung,budgets,iso_flop_rho,tokens_processed,train_flops,card_days,hours_est,status,priority,config,tag
10M_whole_r8_k4_s42,10M,320,whole,8,4,42,15406400,154009600 226508800 308101120 453017600 616202240 906117120,1.4704,1257684992,6.676e+17,0.15,5.14,pending,0,configs/runs/10M_whole_r8_k4_s42.yaml,
10M_whole_r8_k4_s43,10M,320,whole,8,4,43,15406400,154009600 226508800 308101120 453017600 616202240 906117120,1.4704,1257684992,6.676e+17,0.15,5.14,pending,1,configs/runs/10M_whole_r8_k4_s43.yaml,
10M_whole_r8_k4_s44,10M,320,whole,8,4,44,15406400,154009600 226508800 308101120 453017600 616202240 906117120,1.4704,1257684992,6.676e+17,0.15,5.14,pending,2,configs/runs/10M_whole_r8_k4_s44.yaml,
10M_whole_r8_full_s42,10M,320,whole,8,0,42,15406400,154009600 308101120 616202240,1.0,708624384,5.531e+17,0.13,3.73,pending,3,configs/runs/10M_whole_r8_full_s42.yaml,
10M_whole_r8_full_s43,10M,320,whole,8,0,43,15406400,154009600 308101120 616202240,1.0,708624384,5.531e+17,0.13,3.73,pending,4,configs/runs/10M_whole_r8_full_s43.yaml,
10M_whole_r8_full_s44,10M,320,whole,8,0,44,15406400,154009600 308101120 616202240,1.0,708624384,5.531e+17,0.13,3.73,pending,5,configs/runs/10M_whole_r8_full_s44.yaml,
10M_middle_r8_k4_s42,10M,320,middle,8,4,42,15406400,154009600 212992000 308101120 425984000 616202240 851968000,1.3826,1195425792,3.952e+17,0.09,3.0,pending,6,configs/runs/10M_middle_r8_k4_s42.yaml,
10M_middle_r8_k4_s43,10M,320,middle,8,4,43,15406400,154009600 212992000 308101120 425984000 616202240 851968000,1.3826,1195425792,3.952e+17,0.09,3.0,pending,7,configs/runs/10M_middle_r8_k4_s43.yaml,
10M_middle_r8_k4_s44,10M,320,middle,8,4,44,15406400,154009600 212992000 308101120 425984000 616202240 851968000,1.3826,1195425792,3.952e+17,0.09,3.0,pending,8,configs/runs/10M_middle_r8_k4_s44.yaml,
10M_whole_r4_k2_s42,10M,320,whole,4,2,42,15406400,154009600 222412800 308101120 444907520 616202240 889896960,1.4441,1239023616,3.484e+17,0.08,2.82,pending,9,configs/runs/10M_whole_r4_k2_s42.yaml,
10M_whole_r4_k2_s43,10M,320,whole,4,2,43,15406400,154009600 222412800 308101120 444907520 616202240 889896960,1.4441,1239023616,3.484e+17,0.08,2.82,pending,10,configs/runs/10M_whole_r4_k2_s43.yaml,
10M_whole_r4_k2_s44,10M,320,whole,4,2,44,15406400,154009600 222412800 308101120 444907520 616202240 889896960,1.4441,1239023616,3.484e+17,0.08,2.82,pending,11,configs/runs/10M_whole_r4_k2_s44.yaml,
10M_middle_r8_full_s42,10M,320,middle,8,0,42,15406400,154009600 308101120 616202240,1.0,708624384,3.239e+17,0.07,2.17,pending,12,configs/runs/10M_middle_r8_full_s42.yaml,
10M_middle_r8_full_s43,10M,320,middle,8,0,43,15406400,154009600 308101120 616202240,1.0,708624384,3.239e+17,0.07,2.17,pending,13,configs/runs/10M_middle_r8_full_s43.yaml,
10M_middle_r8_full_s44,10M,320,middle,8,0,44,15406400,154009600 308101120 616202240,1.0,708624384,3.239e+17,0.07,2.17,pending,14,configs/runs/10M_middle_r8_full_s44.yaml,
10M_whole_r4_full_s42,10M,320,whole,4,0,42,15406400,154009600 308101120 616202240,1.0,708624384,2.877e+17,0.07,1.95,pending,15,configs/runs/10M_whole_r4_full_s42.yaml,
10M_whole_r4_full_s43,10M,320,whole,4,0,43,15406400,154009600 308101120 616202240,1.0,708624384,2.877e+17,0.07,1.95,pending,16,configs/runs/10M_whole_r4_full_s43.yaml,
10M_whole_r4_full_s44,10M,320,whole,4,0,44,15406400,154009600 308101120 616202240,1.0,708624384,2.877e+17,0.07,1.95,pending,17,configs/runs/10M_whole_r4_full_s44.yaml,
10M_middle_r4_k2_s42,10M,320,middle,4,2,42,15406400,154009600 201768960 308101120 403537920 616202240 807157760,1.3098,1143881728,2.335e+17,0.05,1.54,pending,18,configs/runs/10M_middle_r4_k2_s42.yaml,
10M_middle_r4_k2_s43,10M,320,middle,4,2,43,15406400,154009600 201768960 308101120 403537920 616202240 807157760,1.3098,1143881728,2.335e+17,0.05,1.54,pending,19,configs/runs/10M_middle_r4_k2_s43.yaml,
10M_middle_r4_k2_s44,10M,320,middle,4,2,44,15406400,154009600 201768960 308101120 403537920 616202240 807157760,1.3098,1143881728,2.335e+17,0.05,1.54,pending,20,configs/runs/10M_middle_r4_k2_s44.yaml,
