name,rung,width,placement,r,k_bwd,seed,N_rung,budgets,iso_flop_rho,tokens_processed,train_flops,card_days,hours_est,status,priority,config,tag,lr_factor
20M_whole_r8_full_lrx0.5_s42,20M,448,whole,8,0,42,26844608,268435456,1.0,268435456,3.628e+17,0.08,2.83,pending,0,configs/looplr/20M_whole_r8_full_lrx0.5_s42.yaml,_lrx0.5,0.5
20M_whole_r8_full_lrx0.71_s42,20M,448,whole,8,0,42,26844608,268435456,1.0,268435456,3.628e+17,0.08,2.83,pending,1,configs/looplr/20M_whole_r8_full_lrx0.71_s42.yaml,_lrx0.71,0.71
20M_whole_r8_full_lrx1.0_s42,20M,448,whole,8,0,42,26844608,268435456,1.0,268435456,3.628e+17,0.08,2.83,pending,2,configs/looplr/20M_whole_r8_full_lrx1.0_s42.yaml,_lrx1.0,1.0
20M_whole_r8_k4_lrx0.5_s42,20M,448,whole,8,4,42,26844608,268435456,1.0,268435456,2.458e+17,0.06,2.05,pending,3,configs/looplr/20M_whole_r8_k4_lrx0.5_s42.yaml,_lrx0.5,0.5
20M_whole_r8_k4_lrx0.71_s42,20M,448,whole,8,4,42,26844608,268435456,1.0,268435456,2.458e+17,0.06,2.05,pending,4,configs/looplr/20M_whole_r8_k4_lrx0.71_s42.yaml,_lrx0.71,0.71
20M_whole_r8_k4_lrx1.0_s42,20M,448,whole,8,4,42,26844608,268435456,1.0,268435456,2.458e+17,0.06,2.05,pending,5,configs/looplr/20M_whole_r8_k4_lrx1.0_s42.yaml,_lrx1.0,1.0
20M_middle_r8_full_lrx0.5_s42,20M,448,middle,8,0,42,26844608,268435456,1.0,268435456,2.115e+17,0.05,1.6,pending,6,configs/looplr/20M_middle_r8_full_lrx0.5_s42.yaml,_lrx0.5,0.5
20M_middle_r8_full_lrx0.71_s42,20M,448,middle,8,0,42,26844608,268435456,1.0,268435456,2.115e+17,0.05,1.6,pending,7,configs/looplr/20M_middle_r8_full_lrx0.71_s42.yaml,_lrx0.71,0.71
20M_middle_r8_full_lrx1.0_s42,20M,448,middle,8,0,42,26844608,268435456,1.0,268435456,2.115e+17,0.05,1.6,pending,8,configs/looplr/20M_middle_r8_full_lrx1.0_s42.yaml,_lrx1.0,1.0
20M_whole_r4_full_lrx0.5_s42,20M,448,whole,4,0,42,26844608,268435456,1.0,268435456,1.873e+17,0.04,1.49,pending,9,configs/looplr/20M_whole_r4_full_lrx0.5_s42.yaml,_lrx0.5,0.5
20M_whole_r4_full_lrx0.71_s42,20M,448,whole,4,0,42,26844608,268435456,1.0,268435456,1.873e+17,0.04,1.49,pending,10,configs/looplr/20M_whole_r4_full_lrx0.71_s42.yaml,_lrx0.71,0.71
20M_whole_r4_full_lrx1.0_s42,20M,448,whole,4,0,42,26844608,268435456,1.0,268435456,1.873e+17,0.04,1.49,pending,11,configs/looplr/20M_whole_r4_full_lrx1.0_s42.yaml,_lrx1.0,1.0
20M_middle_r8_k4_lrx0.5_s42,20M,448,middle,8,4,42,26844608,268435456,1.0,268435456,1.521e+17,0.04,1.23,pending,12,configs/looplr/20M_middle_r8_k4_lrx0.5_s42.yaml,_lrx0.5,0.5
