name,rung,width,placement,r,k_bwd,seed,N_rung,budgets,iso_flop_rho,tokens_processed,train_flops,card_days,status,priority,config,tag
10M_dense_r1_lr7.50e-04_s42,10M,320,dense,1,0,42,15406400,154009600,1.0,154009600,1.908e+16,0.0,pending,0,configs/runs/10M_dense_r1_lr7.50e-04_s42.yaml,_lr7.50e-04
10M_dense_r1_lr1.50e-03_s42,10M,320,dense,1,0,42,15406400,154009600,1.0,154009600,1.908e+16,0.0,pending,1,configs/runs/10M_dense_r1_lr1.50e-03_s42.yaml,_lr1.50e-03
10M_dense_r1_lr3.00e-03_s42,10M,320,dense,1,0,42,15406400,154009600,1.0,154009600,1.908e+16,0.0,pending,2,configs/runs/10M_dense_r1_lr3.00e-03_s42.yaml,_lr3.00e-03
10M_dense_r1_lr6.00e-03_s42,10M,320,dense,1,0,42,15406400,154009600,1.0,154009600,1.908e+16,0.0,pending,3,configs/runs/10M_dense_r1_lr6.00e-03_s42.yaml,_lr6.00e-03
10M_dense_r1_lr1.20e-02_s42,10M,320,dense,1,0,42,15406400,154009600,1.0,154009600,1.908e+16,0.0,pending,4,configs/runs/10M_dense_r1_lr1.20e-02_s42.yaml,_lr1.20e-02
20M_dense_r1_lr7.50e-04_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,5,configs/runs/20M_dense_r1_lr7.50e-04_s42.yaml,_lr7.50e-04
20M_dense_r1_lr1.50e-03_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,6,configs/runs/20M_dense_r1_lr1.50e-03_s42.yaml,_lr1.50e-03
20M_dense_r1_lr3.00e-03_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,7,configs/runs/20M_dense_r1_lr3.00e-03_s42.yaml,_lr3.00e-03
20M_dense_r1_lr6.00e-03_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,8,configs/runs/20M_dense_r1_lr6.00e-03_s42.yaml,_lr6.00e-03
20M_dense_r1_lr1.20e-02_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,9,configs/runs/20M_dense_r1_lr1.20e-02_s42.yaml,_lr1.20e-02
20M_dense_r1_lr7.50e-04_b2_099_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,10,configs/runs/20M_dense_r1_lr7.50e-04_b2_099_s42.yaml,_lr7.50e-04_b2_099
20M_dense_r1_lr1.50e-03_b2_099_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,11,configs/runs/20M_dense_r1_lr1.50e-03_b2_099_s42.yaml,_lr1.50e-03_b2_099
20M_dense_r1_lr3.00e-03_b2_099_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,12,configs/runs/20M_dense_r1_lr3.00e-03_b2_099_s42.yaml,_lr3.00e-03_b2_099
20M_dense_r1_lr6.00e-03_b2_099_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,13,configs/runs/20M_dense_r1_lr6.00e-03_b2_099_s42.yaml,_lr6.00e-03_b2_099
20M_dense_r1_lr1.20e-02_b2_099_s42,20M,448,dense,1,0,42,26844608,268435456,1.0,268435456,5.505e+16,0.01,pending,14,configs/runs/20M_dense_r1_lr1.20e-02_b2_099_s42.yaml,_lr1.20e-02_b2_099
40M_dense_r1_lr5.00e-04_s42,40M,640,dense,1,0,42,50145920,501350400,1.0,501350400,1.824e+17,0.04,pending,15,configs/runs/40M_dense_r1_lr5.00e-04_s42.yaml,_lr5.00e-04
40M_dense_r1_lr1.00e-03_s42,40M,640,dense,1,0,42,50145920,501350400,1.0,501350400,1.824e+17,0.04,pending,16,configs/runs/40M_dense_r1_lr1.00e-03_s42.yaml,_lr1.00e-03
40M_dense_r1_lr2.00e-03_s42,40M,640,dense,1,0,42,50145920,501350400,1.0,501350400,1.824e+17,0.04,pending,17,configs/runs/40M_dense_r1_lr2.00e-03_s42.yaml,_lr2.00e-03
40M_dense_r1_lr4.00e-03_s42,40M,640,dense,1,0,42,50145920,501350400,1.0,501350400,1.824e+17,0.04,pending,18,configs/runs/40M_dense_r1_lr4.00e-03_s42.yaml,_lr4.00e-03
40M_dense_r1_lr8.00e-03_s42,40M,640,dense,1,0,42,50145920,501350400,1.0,501350400,1.824e+17,0.04,pending,19,configs/runs/40M_dense_r1_lr8.00e-03_s42.yaml,_lr8.00e-03
80M_middle_r4_full_x0.5_s42,80M,896,middle,4,0,42,92683136,926679040,1.0,926679040,1.405e+18,0.33,pending,20,configs/runs/80M_middle_r4_full_x0.5_s42.yaml,_x0.5
80M_middle_r4_full_x1.0_s42,80M,896,middle,4,0,42,92683136,926679040,1.0,926679040,1.405e+18,0.33,pending,21,configs/runs/80M_middle_r4_full_x1.0_s42.yaml,_x1.0
80M_middle_r4_full_x2.0_s42,80M,896,middle,4,0,42,92683136,926679040,1.0,926679040,1.405e+18,0.33,pending,22,configs/runs/80M_middle_r4_full_x2.0_s42.yaml,_x2.0
80M_dense_r1_lr3.75e-04_s42,80M,896,dense,1,0,42,92683136,926679040,1.0,926679040,5.969e+17,0.14,pending,23,configs/runs/80M_dense_r1_lr3.75e-04_s42.yaml,_lr3.75e-04
80M_dense_r1_lr7.50e-04_s42,80M,896,dense,1,0,42,92683136,926679040,1.0,926679040,5.969e+17,0.14,pending,24,configs/runs/80M_dense_r1_lr7.50e-04_s42.yaml,_lr7.50e-04
80M_dense_r1_lr1.50e-03_s42,80M,896,dense,1,0,42,92683136,926679040,1.0,926679040,5.969e+17,0.14,pending,25,configs/runs/80M_dense_r1_lr1.50e-03_s42.yaml,_lr1.50e-03
80M_dense_r1_lr3.00e-03_s42,80M,896,dense,1,0,42,92683136,926679040,1.0,926679040,5.969e+17,0.14,pending,26,configs/runs/80M_dense_r1_lr3.00e-03_s42.yaml,_lr3.00e-03
80M_dense_r1_lr6.00e-03_s42,80M,896,dense,1,0,42,92683136,926679040,1.0,926679040,5.969e+17,0.14,pending,27,configs/runs/80M_dense_r1_lr6.00e-03_s42.yaml,_lr6.00e-03
160M_dense_r1_lr2.50e-04_s42,160M,1280,dense,1,0,42,179590400,1795686400,1.0,1795686400,2.161e+18,0.5,pending,28,configs/runs/160M_dense_r1_lr2.50e-04_s42.yaml,_lr2.50e-04
160M_dense_r1_lr5.00e-04_s42,160M,1280,dense,1,0,42,179590400,1795686400,1.0,1795686400,2.161e+18,0.5,pending,29,configs/runs/160M_dense_r1_lr5.00e-04_s42.yaml,_lr5.00e-04
160M_dense_r1_lr1.00e-03_s42,160M,1280,dense,1,0,42,179590400,1795686400,1.0,1795686400,2.161e+18,0.5,pending,30,configs/runs/160M_dense_r1_lr1.00e-03_s42.yaml,_lr1.00e-03
