N,N_once,N_rec,N_rung,accounting,backprop,budget_mult,budget_tokens,cell,compiled,d_model,deploy_flops_per_token,emb_in,executed_layers,git_commit,k_bwd,lr0,n_avg_points,n_coda,n_core,n_layers,n_prelude,name,placement,r,rung,seed,step,time,tokens_seen,torch_version,train_flops,train_flops_per_token,val_code,val_finemath,val_fwe,val_second,valavg_code,valavg_finemath,valavg_fwe,valavg_second
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,True,448,96796672.0,7340032,12,23d022a+dirty,0,0.000765,3,2,4,8,2,20M_middle_r2_full_lrx0.5_s42,middle,2,20M,42,2048,2026-09-25 18:57:35,268435456,2.6.0+cu124,7.79509763628073e+16,290390016.0,3.8029267395228126,3.6684609748795802,3.7245123143999623,4.0099578747752505,3.8029267395228126,3.6684609748795802,3.7290497755080505,4.006673336614997
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,True,448,96796672.0,7340032,12,23d022a+dirty,0,0.0010863,3,2,4,8,2,20M_middle_r2_full_lrx0.71_s42,middle,2,20M,42,2048,2026-09-25 18:59:43,268435456,2.6.0+cu124,7.79509763628073e+16,290390016.0,3.727729135343089,3.6341295214110967,3.686864382415788,3.968994448294954,3.727729135343089,3.6341295214110967,3.6920147478989005,3.9741312585529607
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,True,448,96796672.0,7340032,12,23d022a+dirty,0,0.00153,3,2,4,8,2,20M_middle_r2_full_lrx1.0_s42,middle,2,20M,42,2048,2026-09-25 19:11:02,268435456,2.6.0+cu124,7.79509763628073e+16,290390016.0,3.188431790576822,3.611276064006471,3.6769290958877043,3.91632827562058,3.188431790576822,3.611276064006471,3.6827357785132286,3.922731992776962
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,True,448,152076288.0,7340032,20,23d022a+dirty,0,0.000765,3,2,4,8,2,20M_middle_r4_full_lrx0.5_s42,middle,4,20M,42,2048,2026-09-25 17:59:16,268435456,2.6.0+cu124,1.2246800314820198e+17,456228864.0,4.159010215115909,3.688780896888644,3.7082316032682168,4.029123286010483,4.159010215115909,3.688780896888644,3.7129319987322185,4.023318092864492
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,True,448,152076288.0,7340032,20,23d022a+dirty,0,0.0010863,3,2,4,8,2,20M_middle_r4_full_lrx0.71_s42,middle,4,20M,42,2048,2026-09-25 18:07:39,268435456,2.6.0+cu124,1.2246800314820198e+17,456228864.0,3.2575611890439617,3.562223969257334,3.6718596884178334,3.9083235379182386,3.2575611890439617,3.562223969257334,3.6770988524941557,3.915186283374499
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,True,448,152076288.0,7340032,20,23d022a+dirty,0,0.00153,3,2,4,8,2,20M_middle_r4_full_lrx1.0_s42,middle,4,20M,42,2048,2026-09-25 18:05:19,268435456,2.6.0+cu124,1.2246800314820198e+17,456228864.0,3.553018541234984,3.5510854794556606,3.6603922347252147,3.921783417370223,3.553018541234984,3.5510854794556606,3.6661130788171903,3.926769967863922
27246016,17092544,10153472,26844608,iso_token,trunc,10.0,268435456,middle/trunc,True,448,152076288.0,7340032,20,23d022a+dirty,2,0.000765,3,2,4,8,2,20M_middle_r4_k2_lrx0.5_s42,middle,4,20M,42,2048,2026-09-25 18:04:17,268435456,2.6.0+cu124,9.27899852912722e+16,345669632.0,4.267922094197727,3.681222224161071,3.719921414619915,4.0479914665124515,4.267922094197727,3.681222224161071,3.7246024581854176,4.053146830735163
27246016,17092544,10153472,26844608,iso_token,trunc,10.0,268435456,middle/trunc,True,448,152076288.0,7340032,20,23d022a+dirty,2,0.0010863,3,2,4,8,2,20M_middle_r4_k2_lrx0.71_s42,middle,4,20M,42,2048,2026-09-25 18:32:33,268435456,2.6.0+cu124,9.27899852912722e+16,345669632.0,3.415307081873031,3.600239784033591,3.686552961130268,3.9401371423735863,3.415307081873031,3.600239784033591,3.6916651720625797,3.9467691382820145
27246016,17092544,10153472,26844608,iso_token,trunc,10.0,268435456,middle/trunc,True,448,152076288.0,7340032,20,23d022a+dirty,2,0.00153,3,2,4,8,2,20M_middle_r4_k2_lrx1.0_s42,middle,4,20M,42,2048,2026-09-25 18:30:46,268435456,2.6.0+cu124,9.27899852912722e+16,345669632.0,3.5418407381249244,3.576239529711195,3.672597792573005,3.9361560227751187,3.5418407381249244,3.576239529711195,3.6784113725013428,3.9412048151706576
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,False,448,262635520.0,7340032,36,23d022a+dirty,0,0.000765,3,2,4,8,2,20M_middle_r8_full_lrx0.5_s42,middle,8,20M,42,2048,2026-09-25 14:09:42,268435456,2.6.0+cu124,2.1150205671899136e+17,787906560.0,3.5100638753630147,3.6175196589269274,3.7195227866267713,3.9758939290643625,3.5100638753630147,3.6175196589269274,3.724359851620335,3.9797611439292964
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,False,448,262635520.0,7340032,36,23d022a+dirty,0,0.0010863,3,2,4,8,2,20M_middle_r8_full_lrx0.71_s42,middle,8,20M,42,2048,2026-09-25 14:38:43,268435456,2.6.0+cu124,2.1150205671899136e+17,787906560.0,3.417605744035164,3.604407276049364,3.6959495450683355,3.9488478701794962,3.417605744035164,3.604407276049364,3.7012357727742558,3.9536516012961607
27246016,17092544,10153472,26844608,iso_token,full,10.0,268435456,middle/full,False,448,262635520.0,7340032,36,23d022a+dirty,0,0.00153,3,2,4,8,2,20M_middle_r8_full_lrx1.0_s42,middle,8,20M,42,2048,2026-09-25 15:09:14,268435456,2.6.0+cu124,2.1150205671899136e+17,787906560.0,3.515026247414092,3.570172080685543,3.6639685691540684,3.926758985622926,3.515026247414092,3.570172080685543,3.669825791544391,3.932053780076796
