N,N_once,N_rec,N_rung,accounting,backprop,budget_mult,budget_tokens,cell,compiled,d_model,deploy_flops_per_token,emb_in,executed_layers,k_bwd,lr0,n_avg_points,n_coda,n_core,n_layers,n_prelude,name,placement,r,rung,seed,step,time,tokens_seen,torch_version,train_flops,train_flops_per_token,val_code,val_finemath,val_fwe,val_second,valavg_code,valavg_finemath,valavg_fwe,valavg_second
15406400,15406400,0,15406400,iso_token,full,9.996,154009600,dense/full,True,320,41287680.0,5242880,8,0,0.012,3,0,0,8,8,10M_dense_r1_lr1.20e-02_s42,dense,1,10M,42,1880,2026-09-24 02:49:50,154009600,2.6.0+cu124,1.9076097245184e+16,123863040.0,7.158274786464141,6.111863229212616,5.460394321343838,5.9388301177091005,7.158274786464141,6.111863229212616,5.47344007013158,5.951746261787373
15406400,15406400,0,15406400,iso_token,full,9.996,154009600,dense/full,True,320,41287680.0,5242880,8,0,0.0015,3,0,0,8,8,10M_dense_r1_lr1.50e-03_s42,dense,1,10M,42,1880,2026-09-24 02:45:00,154009600,2.6.0+cu124,1.9076097245184e+16,123863040.0,3.7036331221289633,3.8490617971658083,3.8811695318682204,4.140152934484905,3.7036331221289633,3.8490617971658083,3.887093348563139,4.142527046921071
15406400,15406400,0,15406400,iso_token,full,9.996,154009600,dense/full,True,320,41287680.0,5242880,8,0,0.003,3,0,0,8,8,10M_dense_r1_lr3.00e-03_s42,dense,1,10M,42,1880,2026-09-24 02:45:09,154009600,2.6.0+cu124,1.9076097245184e+16,123863040.0,3.47715619321939,3.8490725417369327,3.875266570096482,4.129904266802935,3.47715619321939,3.8490725417369327,3.882375721505545,4.136694475527503
15406400,15406400,0,15406400,iso_token,full,9.996,154009600,dense/full,True,320,41287680.0,5242880,8,0,0.006,3,0,0,8,8,10M_dense_r1_lr6.00e-03_s42,dense,1,10M,42,1880,2026-09-24 02:45:02,154009600,2.6.0+cu124,1.9076097245184e+16,123863040.0,3.4425067958740967,3.9747776307913694,3.994674602265419,4.235295426893769,3.4425067958740967,3.9747776307913694,4.004072530568908,4.245193231141002
15406400,15406400,0,15406400,iso_token,full,9.996,154009600,dense/full,True,320,41287680.0,5242880,8,0,0.00075,3,0,0,8,8,10M_dense_r1_lr7.50e-04_s42,dense,1,10M,42,1880,2026-09-24 02:41:21,154009600,2.6.0+cu124,1.9076097245184e+16,123863040.0,3.8170479256695033,4.036290206116201,3.9842174183856534,4.256162617675452,3.8170479256695033,4.036290206116201,3.9890872420763603,4.259547206213029
179590400,179590400,0,179590400,iso_token,full,9.999,1795686400,dense/full,True,1280,401080320.0,20971520,8,0,0.001,3,0,0,8,8,160M_dense_r1_lr1.00e-03_s42,dense,1,160M,42,3425,2026-09-24 12:12:53,1795686400,2.6.0+cu124,2.160643427794944e+18,1203240960.0,2.7125816900153588,3.0193149113788147,2.9961011876166967,3.2784962515195977,2.7125816900153588,3.0193149113788147,2.998338265218615,3.280338290824426
179590400,179590400,0,179590400,iso_token,full,9.999,1795686400,dense/full,True,1280,401080320.0,20971520,8,0,0.002,3,0,0,8,8,160M_dense_r1_lr2.00e-03_s42,dense,1,160M,42,3425,2026-09-24 12:56:31,1795686400,2.6.0+cu124,2.160643427794944e+18,1203240960.0,2.6335766159818563,2.975051401397684,2.979023622570005,3.2543714674782214,2.6335766159818563,2.975051401397684,2.9815347072535903,3.2572043865276705
179590400,179590400,0,179590400,iso_token,full,9.999,1795686400,dense/full,True,1280,401080320.0,20971520,8,0,0.00025,3,0,0,8,8,160M_dense_r1_lr2.50e-04_s42,dense,1,160M,42,3425,2026-09-24 10:26:30,1795686400,2.6.0+cu124,2.160643427794944e+18,1203240960.0,2.980192544181851,3.215449488771523,3.176739006612013,3.4663379816627864,2.980192544181851,3.215449488771523,3.178364189060241,3.4688859807322525
179590400,179590400,0,179590400,iso_token,full,9.999,1795686400,dense/full,True,1280,401080320.0,20971520,8,0,0.004,3,0,0,8,8,160M_dense_r1_lr4.00e-03_s42,dense,1,160M,42,3425,2026-09-24 16:30:18,1795686400,2.6.0+cu124,2.160643427794944e+18,1203240960.0,2.75508035067302,3.0960228999305213,3.0822308981673494,3.357572692006141,2.75508035067302,3.0960228999305213,3.085274647437212,3.3608823834383883
179590400,179590400,0,179590400,iso_token,full,9.999,1795686400,dense/full,True,1280,401080320.0,20971520,8,0,0.0005,3,0,0,8,8,160M_dense_r1_lr5.00e-04_s42,dense,1,160M,42,3425,2026-09-24 11:24:49,1795686400,2.6.0+cu124,2.160643427794944e+18,1203240960.0,2.8897657327513793,3.0773731172435763,3.0517527112760034,3.341895637787601,2.8897657327513793,3.0773731172435763,3.0536781511855984,3.344049795178524
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.012,3,0,0,8,8,20M_dense_r1_lr1.20e-02_b2_099_s42,dense,1,20M,42,2048,2026-09-24 03:45:18,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,7.51214545663372,6.621060564003931,6.195024217308871,6.559173640357167,7.51214545663372,6.621060564003931,6.2161303663015515,6.58084930968399
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.012,3,0,0,8,8,20M_dense_r1_lr1.20e-02_s42,dense,1,20M,42,2048,2026-09-24 03:25:17,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,7.405727626858545,6.053486377862941,5.4106863276069985,5.9145158057046565,7.405727626858545,6.053486377862941,5.420511086404215,5.916298221813854
